first_name,second_name,last_name,full_name,album_numer,id_numer,transfer,transfer_date,amount_paid_is_correct,student_id_release_date
Jefferson,Kurtis,Eltringham,Jefferson Kurtis Eltringham,108238,03015816445,22.00 zł,13/10/2023,true,8/11/2023
Taryn,,Lacroix,Taryn  Lacroix,631343,03620130219,22.00 zł,9/10/2023,true,23/10/2023
Rouvin,,Plows,Rouvin  Plows,179396,41775863384,25.12 zł,18/10/2023,false,
Benoite,Gigi,Daton,Benoite Gigi Daton,986746,61963518855,26.03 zł,22/10/2023,false,
Siouxie,,Malpass,Siouxie  Malpass,565973,12569089044,0.00 zł,,false,
Omero,,Boraston,Omero  Boraston,423594,33135317199,14.14 zł,5/11/2023,false,
Minni,Gun,Dowsett,Minni Gun Dowsett,140822,39404141804,0.00 zł,,false,
Cyril,Letitia,Larmouth,Cyril Letitia Larmouth,106033,03187602817,31.27 zł,3/10/2023,false,
Maurizio,Damiano,Blum,Maurizio Damiano Blum,971106,84632866476,22.00 zł,24/10/2023,true,22/11/2023
Karry,,Colquitt,Karry  Colquitt,800090,12461204012,22.00 zł,17/10/2023,true,12/11/2023
Stewart,,Kabisch,Stewart  Kabisch,687966,57434125584,0.00 zł,,false,
Hermione,,Minet,Hermione  Minet,275768,26874202849,22.00 zł,7/11/2023,true,12/11/2023
Maxi,Aldric,Topliss,Maxi Aldric Topliss,369963,13347990984,19.01 zł,11/11/2023,false,
Olga,Sandy,Olczyk,Olga Sandy Olczyk,557879,50970413031,13.88 zł,19/10/2023,false,
Analise,Sallie,Ridulfo,Analise Sallie Ridulfo,379280,61662115132,22.00 zł,11/10/2023,true,19/10/2023
Elia,Kyrstin,Lissandre,Elia Kyrstin Lissandre,856944,47945644129,0.00 zł,,false,
Tomi,Anthe,Skala,Tomi Anthe Skala,019359,52393338193,0.00 zł,,false,
Nanni,Crissy,End,Nanni Crissy End,235770,51540041619,0.00 zł,,false,
Mable,,Lardeur,Mable  Lardeur,607958,65957329057,12.91 zł,1/11/2023,false,
Kamillah,Mathilda,Meddemmen,Kamillah Mathilda Meddemmen,872437,20384366657,0.00 zł,,false,
Gina,Doro,Gierok,Gina Doro Gierok,584855,31743612649,25.22 zł,18/10/2023,false,
Barrett,,Sabattier,Barrett  Sabattier,517863,33103201333,18.99 zł,14/11/2023,false,
Levey,,Weatherburn,Levey  Weatherburn,267256,57469645444,0.00 zł,,false,
Barr,Raquela,Egglestone,Barr Raquela Egglestone,090422,05535132689,23.97 zł,8/11/2023,false,
Stoddard,Ephrem,Lakey,Stoddard Ephrem Lakey,365960,40015276491,24.25 zł,1/10/2023,false,
Cobb,,Crome,Cobb  Crome,449759,66280459458,22.00 zł,2/11/2023,true,27/11/2023
Lissie,Simone,Rennie,Lissie Simone Rennie,826222,24906520243,24.11 zł,2/10/2023,false,
Abigael,Korey,Walklett,Abigael Korey Walklett,687145,22574644305,28.39 zł,24/10/2023,false,
Raven,Catherina,Devey,Raven Catherina Devey,030599,94115778523,22.00 zł,1/10/2023,true,17/10/2023
Matt,,Pinches,Matt  Pinches,607608,42734054028,22.00 zł,15/10/2023,true,12/11/2023
Tildy,Hansiain,Paff,Tildy Hansiain Paff,368183,73657411996,33.37 zł,14/10/2023,false,
Janessa,Henry,Dufton,Janessa Henry Dufton,938493,04574818918,0.00 zł,,false,
Katti,Dallas,Zarb,Katti Dallas Zarb,028465,89086565303,25.32 zł,16/11/2023,false,
Andris,,Kensy,Andris  Kensy,899467,46482627785,22.48 zł,25/10/2023,false,
Kermy,Dionne,McNuff,Kermy Dionne McNuff,591724,75552507292,0.00 zł,,false,
Karel,,Avramchik,Karel  Avramchik,336673,11301520250,22.00 zł,6/10/2023,true,2/11/2023
Blythe,Mavra,Emmet,Blythe Mavra Emmet,199705,29407857651,18.77 zł,11/11/2023,false,
Corbett,,Gawke,Corbett  Gawke,852972,99881812633,30.52 zł,3/11/2023,false,
Hilliary,,Flay,Hilliary  Flay,916407,63262388353,22.00 zł,26/10/2023,true,13/11/2023
Farrel,,Ivatts,Farrel  Ivatts,640747,25088590788,0.00 zł,,false,
Marni,,Carabine,Marni  Carabine,247880,84888183016,23.45 zł,18/10/2023,false,
Pamelina,,Killbey,Pamelina  Killbey,691295,77193440743,16.60 zł,9/10/2023,false,
Brianna,,Queyeiro,Brianna  Queyeiro,223408,89617496720,23.62 zł,5/10/2023,false,
Ailina,,Haysey,Ailina  Haysey,393260,89343272049,28.43 zł,22/10/2023,false,
Rivalee,,Towll,Rivalee  Towll,969506,94353074179,18.73 zł,17/11/2023,false,
Nelli,Randi,Quernel,Nelli Randi Quernel,962510,81012596343,22.68 zł,23/10/2023,false,
Ulla,Stewart,Leathard,Ulla Stewart Leathard,929666,28578403829,23.61 zł,25/10/2023,false,
Vittorio,,Shenton,Vittorio  Shenton,918104,78434427369,0.00 zł,,false,
Jeanette,,de Guerre,Jeanette  de Guerre,456896,93289860393,22.00 zł,5/10/2023,true,18/10/2023
Franny,,Winder,Franny  Winder,609943,29676513687,15.68 zł,2/10/2023,false,
Sarajane,,Rennebeck,Sarajane  Rennebeck,483519,97293792595,22.00 zł,12/10/2023,true,24/10/2023
Laure,Roze,Credland,Laure Roze Credland,591762,87266729718,0.00 zł,,false,
Linn,,Dalgety,Linn  Dalgety,123236,70445088685,0.00 zł,,false,
Fleur,Joellyn,Martschke,Fleur Joellyn Martschke,927002,59536145856,0.00 zł,,false,
Darrelle,Flss,Lowes,Darrelle Flss Lowes,812597,19863381315,28.61 zł,7/10/2023,false,
Sibylle,,Buckthorpe,Sibylle  Buckthorpe,595973,44844607028,0.00 zł,,false,
Rhona,Cissy,Maciocia,Rhona Cissy Maciocia,818749,53050669282,22.00 zł,9/10/2023,true,12/10/2023
Carissa,Gerrie,Kenchington,Carissa Gerrie Kenchington,735209,69771440310,22.00 zł,22/10/2023,true,29/10/2023
Chad,Ondrea,Winterscale,Chad Ondrea Winterscale,898190,84253666977,22.19 zł,5/11/2023,false,
